Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591551;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;17/06/2012;18/06/2012 a 18/06/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.436389;-43.040228;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591552;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;30/06/2012;01/07/2012 a 01/07/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.436389;-43.040228;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591557;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;21/07/2012;22/07/2012 a 22/07/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.436389;-43.040228;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591558;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;16/08/2012;17/08/2012 a 17/08/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.436389;-43.040228;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591603;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;09/10/2013;10/10/2013 a 10/10/2013;01/03/2015;Leopardus tigrinus;Gato-do-mato;Leopardus tigrinus;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus tigrinus;Espécie Ameaçada;Em Perigo;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.436389;-43.040228;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591632;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;04/06/2012;05/06/2012 a 05/06/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591664;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;10/09/2012;11/09/2012 a 11/09/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.4521;-42.98741;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591675;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;07/06/2012;08/06/2012 a 08/06/2012;01/03/2015;Leopardus wiedii;Gato-maracajá;Leopardus wiedii;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Leopardus;Leopardus wiedii;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.460295;-43.061341;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591676;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;02/08/2012;03/08/2012 a 03/08/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.460295;-43.061341;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Cecilia Cronemberger De Faria;591677;Nº Da Autorização/Licença Sisbio: 24613, Projeto: Inventário De Mamíferos De Médio E Grande Porte No Parque Nacional Da Serra Dos Órgãos;02/08/2012;03/08/2012 a 03/08/2012;01/03/2015;Puma concolor;Onça-parda;Puma concolor;species;1;Sem Informações;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;Espécie Ameaçada;Vulnerável;Parque Nacional Da Serra Dos Orgãos;Brasil;RJ;Sem Informações;Espécie não Sensível;-22.460295;-43.061341;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
